Price,Close,High,Low,Open,Volume,SMA_20,RSI,MACD,MACD_Signal
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2015-09-15,26.19505500793457,26.251373926241524,25.77604211823349,26.116208866048236,173364800,,,0,0
2015-09-16,26.224336624145508,26.253621836984625,26.005818990460128,26.188291698758928,148694000,,,0,0
2015-09-17,25.663394927978516,26.242353128410066,25.61834049724092,26.05537569400432,256450400,,,0,0
2015-09-18,25.557527542114258,25.749013262572028,25.20159324143964,25.27818615464899,297141200,,,0,0
2015-09-21,25.954010009765625,25.99005494233212,25.604833748791854,25.607085268039523,200888000,,,0,0
2015-09-22,25.5462589263916,25.721973657520948,25.348015255401112,25.541752450932652,201384800,,,0,0
2015-09-23,25.753511428833008,25.843622029740743,25.523731029299196,25.598070685235076,143026800,,,0,0
2015-09-24,25.906692504882812,26.019330298382304,25.31421832981337,25.512460227634595,200878000,,,0,0
2015-09-25,25.841365814208984,26.28741229200735,25.68592508852346,26.231093387769587,224607600,,,0,0
2015-09-28,25.329986572265625,25.809822935273132,25.329986572265625,25.6476242439139,208436000,,,0,0
2015-09-29,24.568559646606445,25.571037230879273,24.298229578216393,25.417849733800466,293461600,,,0,0
2015-09-30,24.847898483276367,25.127239736095433,24.494215872610788,24.818611556340024,265892000,,,0,0
2015-10-01,24.68570327758789,24.6947145087892,24.174326648892244,24.570812228166922,255716400,,,0,0
2015-10-02,24.865921020507812,25.007845753687356,24.228392355369188,24.332018928920757,232079200,,,0,0
2015-10-05,24.956037521362305,25.08895105546204,24.570816346205817,24.753289082143915,208258800,,,0,0
2015-10-06,25.07542610168457,25.17229467694854,24.728501476755845,24.922238627283786,192787200,,,0,0
2015-10-07,24.956037521362305,25.17905994514408,24.64741096489583,25.172301950289615,187062400,,,0,0
2015-10-08,24.667682647705078,24.82312338972107,24.377076865061447,24.82312338972107,247918400,,,0,0
2015-10-09,25.25790786743164,25.29395107965489,24.66543177580045,24.78032284477605,211064400,,,0,0
2015-10-12,25.140756607055664,25.399823890704134,25.104713404801398,25.395319134941012,121868800,,,0,0
2015-10-13,25.183565139770508,25.332246175155987,24.933509030574335,24.965047484102065,132197200,,,0,0
2015-10-14,24.8276309967041,25.12274156980573,24.681201469747595,25.070929128996422,177849600,,,0,0
2015-10-15,25.19933319091797,25.253398863197944,24.890704945832848,24.989826777276747,150694000,,,0,0
2015-10-16,25.014604568481445,25.230868953263432,24.8997135232572,25.181308042824874,156930400,,,0,0
2015-10-19,25.17005157470703,25.174556331909038,24.80510436753319,24.96054513111562,119036800,,,0,0
2015-10-20,25.62961196899414,25.719722579856207,24.96504943648068,25.082192027499502,195871200,,,0,0
2015-10-21,25.62735939025879,26.037361019949046,25.613841682022336,25.681425067053965,167180800,,,0,0
2015-10-22,26.019332885742188,26.019332885742188,25.703946688838375,25.75576083523572,166616400,,,0,0
2015-10-23,26.825820922851562,26.859612609192745,26.206312975224012,26.289663853653483,237467600,,,0,0
2015-10-26,25.96977996826172,26.61181530888057,25.88868058642386,26.60055255617461,265335200,,,0,0
2015-10-27,25.805320739746094,26.253618703760807,25.67916523466566,25.996804656538995,279537600,,,0,0
2015-10-28,26.868621826171875,26.87538153833908,26.145487308769606,26.341477712421575,342205600,,,0,0
